Entity,Code,Year,Population,Population (Projected)
Australia,AUS,1950,8176751.0,
Australia,AUS,1951,8418616.0,
Australia,AUS,1952,8630707.0,
Australia,AUS,1953,8816085.0,
Australia,AUS,1954,8999384.0,
Australia,AUS,1955,9205189.0,
Australia,AUS,1956,9424660.0,
Australia,AUS,1957,9638773.0,
Australia,AUS,1958,9847636.0,
Australia,AUS,1959,10060033.0,
Australia,AUS,1960,10280815.0,
Australia,AUS,1961,10500441.0,
Australia,AUS,1962,10707235.0,
Australia,AUS,1963,10913270.0,
Australia,AUS,1964,11128257.0,
Australia,AUS,1965,11357479.0,
Australia,AUS,1966,11592485.0,
Australia,AUS,1967,11810521.0,
Australia,AUS,1968,12030009.0,
Australia,AUS,1969,12272387.0,
Australia,AUS,1970,12599414.0,
Australia,AUS,1971,12997963.0,
Australia,AUS,1972,13304897.0,
Australia,AUS,1973,13518689.0,
Australia,AUS,1974,13719499.0,
Australia,AUS,1975,13893988.0,
Australia,AUS,1976,14046758.0,
Australia,AUS,1977,14203511.0,
Australia,AUS,1978,14367099.0,
Australia,AUS,1979,14533034.0,
Australia,AUS,1980,14721345.0,
Australia,AUS,1981,14949210.0,
Australia,AUS,1982,15192484.0,
Australia,AUS,1983,15414891.0,
Australia,AUS,1984,15620653.0,
Australia,AUS,1985,15835743.0,
Australia,AUS,1986,16069631.0,
Australia,AUS,1987,16322272.0,
Australia,AUS,1988,16594104.0,
Australia,AUS,1989,16869362.0,
Australia,AUS,1990,17126304.0,
Australia,AUS,1991,17353191.0,
Australia,AUS,1992,17549286.0,
Australia,AUS,1993,17722905.0,
Australia,AUS,1994,17897433.0,
Australia,AUS,1995,18095340.0,
Australia,AUS,1996,18305305.0,
Australia,AUS,1997,18504911.0,
Australia,AUS,1998,18701710.0,
Australia,AUS,1999,18909980.0,
Australia,AUS,2000,19132472.0,
Australia,AUS,2001,19365438.0,
Australia,AUS,2002,19595356.0,
Australia,AUS,2003,19819449.0,
Australia,AUS,2004,20046679.0,
Australia,AUS,2005,20294490.0,
Australia,AUS,2006,20590566.0,
Australia,AUS,2007,20954545.0,
Australia,AUS,2008,21370595.0,
Australia,AUS,2009,21783014.0,
Australia,AUS,2010,22141583.0,
Australia,AUS,2011,22479779.0,
Australia,AUS,2012,22852648.0,
Australia,AUS,2013,23236271.0,
Australia,AUS,2014,23595599.0,
Australia,AUS,2015,23947997.0,
Australia,AUS,2016,24329963.0,
Australia,AUS,2017,24731044.0,
Australia,AUS,2018,25119700.0,
Australia,AUS,2019,25482714.0,
Australia,AUS,2020,25743787.0,
Australia,AUS,2021,25956417.0,
Australia,AUS,2022,26200987.0,
Australia,AUS,2023,26451126.0,
