Entity,Code,Year,Annual CO₂ emissions
Syria,SYR,2024,31778448.0
Marshall Islands,MHL,2024,154480.0
Moldova,MDA,2024,5326843.0
Saint Kitts and Nevis,KNA,2024,259757.02
Dominican Republic,DOM,2024,33130818.0
