Country,Year,Population
Australia,2023,26451126
Cameroon,2023,28372690
Canada,2023,39299098
Chile,2023,19658833
Ecuador,2023,17980079
Mali,2023,23769130
Nepal,2023,29694614
New Zealand,2023,5172837
Sri Lanka,2023,22971615
