Entity,Code,Year,Annual CO₂ emissions
Australia,AUS,1805,236.0
Australia,AUS,1806,661.0
Australia,AUS,1807,629.0
Australia,AUS,1808,787.0
Australia,AUS,1809,1259.0
Australia,AUS,1810,1259.0
Australia,AUS,1811,2203.0
Australia,AUS,1812,2203.0
Australia,AUS,1813,2832.0
Australia,AUS,1814,3451.0
Australia,AUS,1815,2753.0
Australia,AUS,1816,2281.0
Australia,AUS,1817,2045.0
Australia,AUS,1818,1888.0
Australia,AUS,1819,3540.0
Australia,AUS,1820,6160.0
Australia,AUS,1821,3147.0
Australia,AUS,1822,3934.0002
Australia,AUS,1823,4720.0
Australia,AUS,1824,4720.0
Australia,AUS,1825,2870.0
Australia,AUS,1826,6360.0
Australia,AUS,1827,5902.0
Australia,AUS,1828,3786.0
Australia,AUS,1829,6031.0
Australia,AUS,1830,5748.0
Australia,AUS,1831,1421.0
Australia,AUS,1832,11239.0
Australia,AUS,1833,10718.0
Australia,AUS,1834,13358.0
Australia,AUS,1835,19498.0
Australia,AUS,1836,19897.0
Australia,AUS,1837,25305.0
Australia,AUS,1838,27094.0
Australia,AUS,1839,33487.0
Australia,AUS,1840,47605.0
Australia,AUS,1841,54819.0
Australia,AUS,1842,62779.0
Australia,AUS,1843,40692.0
Australia,AUS,1844,36374.0
Australia,AUS,1845,35125.0
Australia,AUS,1846,61308.0
Australia,AUS,1847,64088.0
Australia,AUS,1848,71507.0
Australia,AUS,1849,76336.0
Australia,AUS,1850,112052.0
Australia,AUS,1851,106379.0
Australia,AUS,1852,106055.0
Australia,AUS,1853,152321.0
Australia,AUS,1854,183526.0
Australia,AUS,1855,215678.0
Australia,AUS,1856,298886.0
Australia,AUS,1857,331100.0
Australia,AUS,1858,340483.0
Australia,AUS,1859,484948.0
Australia,AUS,1860,599769.0
Australia,AUS,1861,560575.0
Australia,AUS,1862,787635.0
Australia,AUS,1863,720450.0
Australia,AUS,1864,903160.0
Australia,AUS,1865,973508.0
Australia,AUS,1866,1280060.0
Australia,AUS,1867,1239852.0
Australia,AUS,1868,1532259.0
Australia,AUS,1869,1464684.0
Australia,AUS,1870,1402391.0
Australia,AUS,1871,1440910.0
Australia,AUS,1872,1636610.0
Australia,AUS,1873,1930549.0
Australia,AUS,1874,2125629.0
Australia,AUS,1875,2142736.0
Australia,AUS,1876,2158161.0
Australia,AUS,1877,2372097.0
Australia,AUS,1878,2561644.0
Australia,AUS,1879,2577875.0
Australia,AUS,1880,2417483.0
Australia,AUS,1881,2905113.0
Australia,AUS,1882,3449765.0
Australia,AUS,1883,4146751.0
Australia,AUS,1884,4531928.0
Australia,AUS,1885,4871322.0
Australia,AUS,1886,4829301.0
Australia,AUS,1887,5022818.0
Australia,AUS,1888,5609240.0
Australia,AUS,1889,6250296.0
Australia,AUS,1890,5450851.0
Australia,AUS,1891,6884677.0
Australia,AUS,1892,6459545.0
Australia,AUS,1893,5773102.0
Australia,AUS,1894,6521718.0
Australia,AUS,1895,6750805.0
Australia,AUS,1896,7167209.0
Australia,AUS,1897,7906717.0
Australia,AUS,1898,8513916.0
Australia,AUS,1899,8696603.0
Australia,AUS,1900,10167600.0
Australia,AUS,1901,11439008.0
Australia,AUS,1902,11395040.0
Australia,AUS,1903,11224408.0
Australia,AUS,1904,11543990.0
Australia,AUS,1905,12052433.0
Australia,AUS,1906,14358062.0
Australia,AUS,1907,15486985.0
Australia,AUS,1908,16792072.0
Australia,AUS,1909,14580129.0
Australia,AUS,1910,17707020.0
Australia,AUS,1911,19526794.0
Australia,AUS,1912,21211162.0
Australia,AUS,1913,22801300.0
Australia,AUS,1914,24922456.0
Australia,AUS,1915,22269420.0
Australia,AUS,1916,19853626.0
Australia,AUS,1917,21334476.0
Australia,AUS,1918,23364628.0
Australia,AUS,1919,22185334.0
Australia,AUS,1920,26306108.0
Australia,AUS,1921,23785314.0
Australia,AUS,1922,24921644.0
Australia,AUS,1923,25684384.0
Australia,AUS,1924,28190650.0
Australia,AUS,1925,29631932.0
Australia,AUS,1926,29587222.0
Australia,AUS,1927,31269102.0
Australia,AUS,1928,29018580.0
Australia,AUS,1929,26906062.0
Australia,AUS,1930,25899494.0
Australia,AUS,1931,22551372.0
Australia,AUS,1932,23050902.0
Australia,AUS,1933,24781530.0
Australia,AUS,1934,26208724.0
Australia,AUS,1935,28957930.0
Australia,AUS,1936,31513688.0
Australia,AUS,1937,33755788.0
Australia,AUS,1938,33696736.0
Australia,AUS,1939,37983664.0
Australia,AUS,1940,35346490.0
Australia,AUS,1941,39334720.0
Australia,AUS,1942,42027110.0
Australia,AUS,1943,41193708.0
Australia,AUS,1944,41026970.0
Australia,AUS,1945,39159604.0
Australia,AUS,1946,42740160.0
Australia,AUS,1947,44776696.0
Australia,AUS,1948,47012696.0
Australia,AUS,1949,48064290.0
Australia,AUS,1950,55635580.0
Australia,AUS,1951,61051396.0
Australia,AUS,1952,62406330.0
Australia,AUS,1953,63002892.0
Australia,AUS,1954,67920610.0
Australia,AUS,1955,71946230.0
Australia,AUS,1956,75471416.0
Australia,AUS,1957,75474500.0
Australia,AUS,1958,77928984.0
Australia,AUS,1959,83068130.0
Australia,AUS,1960,87440610.0
Australia,AUS,1961,87008340.0
Australia,AUS,1962,90908610.0
Australia,AUS,1963,95994510.0
Australia,AUS,1964,103544750.0
Australia,AUS,1965,113606344.0
Australia,AUS,1966,115736220.0
Australia,AUS,1967,122280584.0
Australia,AUS,1968,128768060.0
Australia,AUS,1969,136413540.0
Australia,AUS,1970,147862780.0
Australia,AUS,1971,151117890.0
Australia,AUS,1972,153598260.0
Australia,AUS,1973,170141920.0
Australia,AUS,1974,166182740.0
Australia,AUS,1975,173101520.0
Australia,AUS,1976,169803060.0
Australia,AUS,1977,181912910.0
Australia,AUS,1978,191051580.0
Australia,AUS,1979,192321940.0
Australia,AUS,1980,204370200.0
Australia,AUS,1981,213809920.0
Australia,AUS,1982,218000900.0
Australia,AUS,1983,207645390.0
Australia,AUS,1984,217514610.0
Australia,AUS,1985,224557460.0
Australia,AUS,1986,224040290.0
Australia,AUS,1987,234598320.0
Australia,AUS,1988,240737040.0
Australia,AUS,1989,256838110.0
Australia,AUS,1990,278061000.0
Australia,AUS,1991,279437380.0
Australia,AUS,1992,284433440.0
Australia,AUS,1993,288780400.0
Australia,AUS,1994,293613280.0
