Entity,Code,Year,Annual CO₂ emissions
Australia,AUS,1995,304962300.0
Australia,AUS,1996,311850880.0
Australia,AUS,1997,320242530.0
Australia,AUS,1998,334037800.0
Australia,AUS,1999,343876200.0
Australia,AUS,2000,349897630.0
Australia,AUS,2001,357667780.0
Australia,AUS,2002,362424930.0
Australia,AUS,2003,370784420.0
Australia,AUS,2004,382004900.0
Australia,AUS,2005,385081500.0
Australia,AUS,2006,391372540.0
Australia,AUS,2007,398896260.0
Australia,AUS,2008,404279300.0
Australia,AUS,2009,406977100.0
Australia,AUS,2010,405025950.0
Australia,AUS,2011,403874400.0
Australia,AUS,2012,405005120.0
Australia,AUS,2013,397849900.0
Australia,AUS,2014,392609600.0
Australia,AUS,2015,400589200.0
Australia,AUS,2016,409666340.0
Australia,AUS,2017,413407840.0
Australia,AUS,2018,414780580.0
Australia,AUS,2019,414925300.0
Australia,AUS,2020,398546900.0
Australia,AUS,2021,388472300.0
Australia,AUS,2022,384078430.0
Australia,AUS,2023,384316060.0
Australia,AUS,2024,386732380.0
